id,cache-references,cache-misses,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-loads,dTLB-load-misses,label,attack_type,load_level
benign_full-load_315,4536675836,666250723,118599947838,221248975701,27097498436,159093967,39176596686,3346841675,1014098045,25101024,38144235628,11003729,0,benign,full-load
benign_full-load_316,4105642476,718657937,121489514027,224907724161,27537015331,176887366,40321472242,3264575048,764289883,22414412,39940457109,11989222,0,benign,full-load
benign_full-load_317,4334719369,675360260,118218264743,221676118878,26905655416,170955358,38723135157,3150525562,920391094,23372121,38783727263,8974742,0,benign,full-load
benign_full-load_318,4104869332,684060839,118877361684,222724963491,27314828794,157628973,39303557915,3382657806,1056251499,27687478,37958773099,12265394,0,benign,full-load
benign_full-load_319,3799128280,693494293,120004496545,225779433624,27756930468,158794572,39730834058,3604334846,856350003,24610722,38031710143,12909929,0,benign,full-load
benign_full-load_320,3924300365,697789118,118040594474,221078218598,26914996109,156987840,38711889671,3212626465,847878984,27142799,38849651466,11513353,0,benign,full-load
benign_full-load_321,4093282816,684706307,121579952012,226023334759,27908243659,170163174,40182081288,3282835964,1052074652,23891728,39634189111,9342323,0,benign,full-load
benign_full-load_322,4701981869,671741123,119085871137,220055313402,27066504810,178260736,39304315903,2918666667,1162393889,19330088,39355130998,8029647,0,benign,full-load
benign_full-load_323,5269249051,704683292,119847807714,221682703725,26877624619,166158999,38950634939,3082122527,1200703684,27079881,38806477661,12881416,0,benign,full-load
benign_full-load_324,5446924625,692305481,119449232182,217572389129,26325718168,170343027,38330287484,2935912080,1085389047,27895976,38996620364,11943951,0,benign,full-load
benign_full-load_325,3930398571,717303809,119857723514,224578000970,27481978285,164001029,39217191206,3415318653,893184268,25190428,38758683197,12710599,0,benign,full-load
benign_full-load_326,4786284739,727293860,121693001947,221165856573,27233496265,172259432,39434591910,2943997975,1130457299,30964554,39384401712,14367061,0,benign,full-load
benign_full-load_327,4304133763,593435180,116377221453,216045618076,26450291536,160020296,37105493343,3174630068,1137934870,21583693,36300194128,8115192,0,benign,full-load
benign_full-load_328,4071341733,674200477,117591222049,220187052033,27007571517,150002160,38501749848,3211883205,1068964015,21594895,37710996750,11153211,0,benign,full-load
benign_full-load_329,5031922387,675316416,117295173062,217577778875,26483106223,164661972,38253408269,2950229248,1225554875,23041749,38462855709,11253907,0,benign,full-load
benign_full-load_330,4213200263,676561336,120625515863,220782390123,27094942030,165635866,39016158284,3083946226,898344526,28930677,39250112265,10558485,0,benign,full-load
